x,y,c
186.036,56.0014,3
262.052,132.004,1
180.033,50.0294,4
149.064,19.0101,4
289.004,159.065,0
184.054,54.0343,3
163.029,33.0053,4
177.014,47.0327,4
160.058,30.0077,4
276.065,146.019,1
164.048,34.0024,4
52.0491,322.031,2
249.043,119.003,1
269.01,139.013,1
289.012,159.045,0
183.057,53.0319,3
270.05,140.025,1
136.004,6.03697,4
249.033,119.031,1
284.012,154.009,0
136,6.03295,4
231.053,101.049,1
160.057,30.0189,4
195.016,65.0646,3
263.006,133.047,1
227.033,97.0498,3
124.051,394.033,2
284.054,154.003,0
181.042,51.0209,4
204.012,74.0198,3
175.014,45.0463,4
226.025,96.0359,3
161.009,31.027,4
185.003,55.036,3
202.02,72.0514,3
216.029,86.0345,3
188.05,58.0328,3
360.003,230.041,0
104.012,374.055,2
357.05,227.005,0
167.028,37.0168,4
212.062,82.0476,3
250.032,120.007,1
191.04,61.0336,3
165.003,35.0652,4
290.003,160.004,0
212.065,82.0575,3
220.03,90.0529,3
178.004,48.0456,4
251.017,121.021,1
318.003,188.006,0
236.059,106.057,1
191.055,61.0425,3
220.024,90.0185,3
254.062,124.004,1
69.0504,339.041,2
206.017,76.0041,3
222.02,92.0371,3
93.0303,363.034,2
144.034,14.0061,4
156.047,26.0131,4
154.022,24.0622,4
118.001,388.001,2
72.0321,342.043,2
237.02,107.057,1
301.064,171.039,0
203.02,73.0135,3
207.041,77.0257,3
236.01,106.024,1
204.014,74.0048,3
135.023,5.04553,4
219.047,89.0132,3
229.045,99.011,3
192.027,62.0052,3
220.02,90.0281,3
321.013,191.062,0
254.048,124.064,1
153.062,23.0171,4
204.029,74.052,3
78.0144,348.064,2
205.041,75.062,3
244.029,114.035,1
189.015,59.0596,3
249.025,119.039,1
250.034,120.01,1
180.002,50.0479,4
249.018,119.052,1
217.023,87.0412,3
191.061,61.0412,3
116.019,386.037,2
275.044,145.025,1
245.03,115.051,1
222.056,92.0386,3
180.028,50.0111,4
274.008,144.037,1
207.039,77.0435,3
336.012,206.04,0
207.015,77.0535,3
37.035,307.047,2
208.027,78.0516,3
228.021,98.0571,3
182.035,52.0255,3
43.0203,313.031,2
71.0348,341.036,2
182.005,52.0552,3
265.025,135.056,1
265.025,135.038,1
200.065,70.0243,3
203.012,73.0558,3
192.015,62.052,3
130.044,0.009551,4
175.036,45.0171,4
164.018,34.035,4
175.034,45.0466,4
222.041,92.0459,3
190.022,60.0406,3
306.065,176.007,0
330.064,200.043,0
228.058,98.0473,3
199.064,69.0012,3
248.031,118.056,1
134.064,4.02655,4
307.028,177.044,0
264.016,134.011,1
244.042,114.028,1
200.002,70.0164,3
159.037,29.0447,4
239.056,109.03,1
178.051,48.0468,4
62.0331,332.009,2
222.039,92.0213,3
192.059,62.0461,3
98.0389,368.028,2
175.038,45.0455,4
292.017,162.017,0
133.012,3.00046,4
30.0284,300.043,2
121.028,391.024,2
317.004,187.041,0
146.015,16.0537,4
69.0374,339.009,2
165.007,35.0479,4
138.01,8.02689,4
211.057,81.0437,3
292.052,162.049,0
266.038,136.046,1
109.024,379.015,2
108.052,378.009,2
173.027,43.0482,4
153.048,23.0152,4
242.042,112.021,1
197.009,67.0014,3
187.046,57.0364,3
151.034,21.0391,4
185.056,55.0318,3
152.018,22.0503,4
234.021,104.019,1
307.039,177.036,0
119.049,389.032,2
85.0291,355.041,2
257.008,127.012,1
298.047,168.053,0
214.045,84.0046,3
154.032,24.0054,4
200.03,70.0376,3
184.024,54.0447,3
147.015,17.0285,4
185.011,55.0418,3
164.004,34.0262,4
65.0515,335.051,2
210.048,80.0124,3
156.061,26.0516,4
255.05,125.064,1
117.051,387.015,2
212.044,82.0542,3
192.041,62.0578,3
153.059,23.0514,4
152.053,22.0453,4
254.013,124.02,1
269.001,139.021,1
341.008,211.028,0
274.015,144.012,1
74.0161,344.021,2
200.053,70.0045,3
279.059,149.063,1
299.05,169.03,0
232.007,102.027,1
138.046,8.03661,4
244.058,114.026,1
247.029,117.034,1
129.023,399.057,2
164.037,34.0295,4
132.009,2.05843,4
200.059,70.0297,3
222.037,92.0655,3
87.0531,357.054,2
184.042,54.0011,3
139.016,9.04113,4
124.004,394.04,2
282.033,152.048,1
203.047,73.0145,3
159.022,29.0058,4
275.057,145.024,1
34.0576,304.015,2
113.023,383.011,2
162.015,32.0332,4
201.023,71.0265,3
165.018,35.0195,4
220.018,90.0462,3
43.0375,313.012,2
329.028,199.046,0
224.034,94.0196,3
209.047,79.0441,3
179.051,49.0527,4
229.013,99.0488,3
225.035,95.0519,3
194.051,64.0446,3
242.007,112.009,1
227.031,97.0387,3
175.027,45.063,4
292.001,162.04,0
50.0545,320.043,2
250.029,120.028,1
131.029,1.06193,4
201.049,71.0399,3
170.014,40.0632,4
344.037,214.011,0
165.052,35.0507,4
214.004,84.0384,3
131.064,1.02487,4
193.029,63.0458,3
257.047,127.05,1
268.04,138.045,1
282.04,152.006,1
260,130.052,1
264.04,134.035,1
140.038,10.0084,4
198.027,68.0579,3
237.042,107.06,1
184.018,54.001,3
234.036,104.031,1
320.023,190.065,0
161.06,31.017,4
131.008,1.00939,4
179.062,49.0096,4
205.006,75.0004,3
261.056,131.057,1
180.022,50.0019,4
84.0357,354.046,2
151.044,21.0395,4
225.017,95.0424,3
129.006,399.056,2
301.005,171.029,0
151.057,21.0382,4
250.023,120.04,1
150.018,20.0526,4
221.052,91.0651,3
152.063,22.0391,4
148.041,18.044,4
310.041,180.048,0
213.053,83.0168,3
95.0483,365.024,2
169.058,39.055,4
149.056,19.0281,4
83.0245,353.047,2
151.049,21.0294,4
252.051,122.04,1
97.0296,367.037,2
117.03,387.062,2
273.009,143.048,1
289.022,159.058,0
175.007,45.0546,4
240.019,110.063,1
171.051,41.02,4
129.009,399.053,2
183.057,53.058,3
260.051,130.042,1
63.0178,333.016,2
152.025,22.0149,4
291.051,161.054,0
199.054,69.0286,3
170.012,40.0441,4
272.06,142.048,1
84.0126,354.037,2
252.01,122.001,1
232.036,102.063,1
159.053,29.0365,4
266.022,136.028,1
211.006,81.0391,3
207.04,77.0607,3
220.015,90.0385,3
135.048,5.03085,4
171.015,41.0092,4
129.004,399.039,2
78.0468,348.031,2
179.031,49.0405,4
185.009,55.0443,3
305.036,175.04,0
287.059,157.032,0
121.031,391.04,2
194.043,64.0211,3
199.007,69.0354,3
302.034,172.042,0
223.019,93.0168,3
194.004,64.0582,3
163.042,33.0392,4
266.008,136.014,1
111.008,381.033,2
285.025,155.005,0
278.054,148.038,1
310.051,180.042,0
188.061,58.0261,3
194.045,64.0424,3
352.065,222.064,0
136.061,6.03482,4
310.06,180.057,0
297.003,167.008,0
194.052,64.0353,3
288.053,158.014,0
225.056,95.0602,3
205.028,75.0563,3
226.048,96.056,3
240.031,110.002,1
188.056,58.0447,3
194.054,64.0326,3
168.058,38.043,4
215.007,85.0174,3
133.042,3.02774,4
96.0308,366.018,2
209.031,79.0585,3
100.01,370.039,2
206.033,76.0301,3
177.037,47.0404,4
186.061,56.0542,3
279.042,149.015,1
193.021,63.0322,3
274.022,144.06,1
278.054,148.045,1
240.032,110.022,1
90.0297,360.062,2
132.009,2.0354,4
181.04,51.041,4
220.058,90.0105,3
192.024,62.0144,3
156.046,26.0334,4
277.008,147.064,1
263.056,133.014,1
175.017,45.0016,4
178.014,48.013,4
191.026,61.0102,3
236.046,106.019,1
168.009,38.006,4
175.032,45.0075,4
174.005,44.0404,4
263.065,133.009,1
187.063,57.0022,3
171.023,41.0472,4
222.036,92.0463,3
214.004,84.0129,3
214.063,84.0093,3
212.025,82.0417,3
261.037,131.027,1
168.026,38.0403,4
254.011,124.02,1
69.018,339.054,2
270.005,140.014,1
263.03,133.033,1
184.049,54.0294,3
162.038,32.0358,4
165.025,35.0477,4
350.029,220.003,0
285.048,155.005,0
172.04,42.0163,4
232.06,102.038,1
124.023,394.009,2
163.012,33.0609,4
270.055,140.039,1
235.014,105.063,1
222.024,92.0314,3
277.061,147.046,1
275.057,145.019,1
154.003,24.0472,4
282.012,152.016,1
323.029,193.03,0
42.0625,312.038,2
182.034,52.0504,3
189.002,59.0019,3
323.019,193.009,0
234.047,104.023,1
232.05,102.032,1
276.025,146.031,1
191.034,61.0179,3
230.022,100.017,3
206.037,76.0075,3
186.038,56.0505,3
197.054,67.0539,3
150.038,20.0373,4
176.062,46.0275,4
164.004,34.0027,4
135.007,5.0486,4
117.01,387.014,2
197.035,67.0122,3
288.049,158.017,0
184.005,54.0503,3
228.04,98.0364,3
238.026,108.016,1
117.043,387.012,2
125.065,395.025,2
219.038,89.0547,3
332.037,202.004,0
215.012,85.0359,3
162.031,32.0035,4
293.06,163.007,0
145.019,15.0142,4
278.016,148.021,1
239.006,109.015,1
81.0296,351.025,2
226.003,96.0131,3
210.026,80.0574,3
224.023,94.0376,3
166.004,36.0035,4
260.041,130.021,1
200.047,70.0392,3
196.063,66.0342,3
208.018,78.0039,3
80.0553,350.052,2
209.046,79.0511,3
312.042,182.008,0
204.063,74.009,3
252.051,122.013,1
254.057,124.015,1
218.063,88.045,3
243.028,113.015,1
151.039,21.0566,4
175.049,45.0573,4
131.059,1.05209,4
252.007,122.063,1
260.008,130.062,1
189.008,59.0108,3
166.061,36.0408,4
116.051,386.039,2
227.007,97.0131,3
211.007,81.0099,3
205.008,75.0439,3
283.061,153.065,1
167.04,37.0467,4
250.013,120.032,1
105.026,375.021,2
254.036,124.033,1
207.055,77.0083,3
226.032,96.0556,3
257.061,127.056,1
152.046,22.0433,4
179.043,49.0069,4
108.037,378.02,2
181.027,51.052,4
347.037,217.02,0
199.025,69.0041,3
287.057,157.058,0
108.032,378.052,2
206.042,76.0289,3
209.051,79.0272,3
254.041,124.012,1
116.059,386.02,2
282.047,152.051,1
345.002,215.059,0
236.025,106.055,1
228.055,98.0597,3
249.018,119.007,1
107.034,377.042,2
199.059,69.0136,3
208.042,78.0602,3
152.054,22.0391,4
154.027,24.011,4
325.002,195.035,0
127.061,397.039,2
205.014,75.062,3
265.024,135.023,1
265.049,135.036,1
148.046,18.0237,4
252.052,122.056,1
117.012,387.006,2
116.017,386.009,2
205.004,75.0295,3
360.014,230.008,0
119.048,389.021,2
214.014,84.0411,3
263.034,133.013,1
325.002,195.045,0
168.055,38.0231,4
98.0171,368.054,2
325.004,195.055,0
149.034,19.0022,4
283.062,153,1
209.028,79.0535,3
169.034,39.0208,4
199.016,69.0634,3
238.031,108.048,1
193.01,63.0058,3
287.055,157.054,0
226.034,96.0497,3
290.028,160.055,0
151.061,21.0471,4
259.019,129.048,1
212.033,82.0635,3
297.044,167.037,0
193.06,63.03,3
234.046,104.023,1
155.051,25.0379,4
133.052,3.02318,4
222.056,92.0008,3
231.024,101.044,1
345.043,215.014,0
93.0335,363.064,2
316.017,186.061,0
161.004,31.0523,4
157.021,27.0358,4
117.009,387,2
227.053,97.055,3
252.03,122.003,1
159.064,29.0181,4
185.032,55.0611,3
226.008,96.0586,3
161.051,31.0488,4
191.012,61.0076,3
211.017,81.0633,3
224.042,94.051,3
197.027,67.0099,3
220.017,90.0499,3
253.044,123.011,1
164.009,34.0386,4
230.005,100.011,3
149.028,19.0556,4
220.005,90.0423,3
272.003,142.024,1
317.036,187.047,0
256.006,126.015,1
214.051,84.0537,3
264.054,134.013,1
155.001,25.0574,4
257.022,127.011,1
109.002,379.001,2
179.056,49.0116,4
326.048,196.018,0
174.037,44.0164,4
99.0262,369.063,2
173.041,43.0309,4
288.033,158.018,0
292.063,162.011,0
196.035,66.0525,3
173.02,43.0324,4
112.06,382.056,2
100.007,370.035,2
156.017,26.0587,4
39.0527,309.056,2
242.056,112.03,1
221.062,91.0343,3
170.035,40.0261,4
157.002,27.033,4
129.014,399.061,2
81.0581,351.002,2
308.034,178.02,0
313.001,183.021,0
177.001,47.0376,4
73.053,343.028,2
122.006,392.047,2
221.055,91.005,3
246.04,116.049,1
169.02,39.0182,4
150.013,20.0126,4
264.055,134.037,1
262.013,132.038,1
85.0196,355.04,2
180.008,50.0479,4
271.024,141.007,1
280.014,150.06,1
203.06,73.0356,3
128.037,398.039,2
169.003,39.0643,4
253.013,123.014,1
188.019,58.0235,3
81.0003,351.06,2
198.033,68.0266,3
242.006,112.023,1
270.042,140.019,1
230.046,100.011,3
234.046,104.002,1
207.016,77.0222,3
200.055,70.0482,3
187.032,57.0307,3
127.042,397.012,2
217.037,87.0327,3
96.0172,366.036,2
129.004,399.04,2
248.001,118.017,1
95.0237,365.039,2
214.043,84.0467,3
213.031,83.0197,3
216.052,86.0034,3
294.011,164.059,0
173.019,43.0272,4
143.005,13.0505,4
196.012,66.0554,3
268.022,138.022,1
116.05,386.03,2
264.062,134.062,1
186.025,56.0407,3
229.013,99.0007,3
182.003,52.0356,3
48.0569,318.047,2
226.053,96.0466,3
149.019,19.0593,4
310.043,180.043,0
245.065,115.01,1
138,8.043,4
153.046,23.0289,4
183.013,53.0535,3
84.0029,354.033,2
289.019,159.015,0
237.046,107.016,1
115.037,385.057,2
128.049,398.027,2
70.0569,340.051,2
288.008,158.025,0
238.03,108.063,1
202.031,72.0543,3
312.064,182.029,0
209.008,79.0481,3
283.01,153.002,1
165.04,35.0153,4
147.012,17.0495,4
180.031,50.0282,4
189.044,59.0214,3
95.0115,365.031,2
189.009,59.0574,3
213.021,83.0284,3
113.037,383.059,2
149.023,19.0119,4
168.014,38.021,4
124.006,394.046,2
213.017,83.0392,3
226.02,96.0342,3
161.051,31.0609,4
245.008,115.039,1
199.041,69.0462,3
283.022,153.056,1
237.017,107.039,1
227.063,97.017,3
225.059,95.0479,3
145.007,15.0308,4
346.01,216.051,0
125.046,395.03,2
223.035,93.0448,3
94.0529,364.038,2
92.0273,362.001,2
202.036,72.0536,3
149.031,19.0536,4
46.0039,316.005,2
135.017,5.05656,4
196.035,66.0309,3
233.049,103.057,1
284.02,154.06,0
357.007,227.06,0
270.015,140.055,1
259.035,129.006,1
308.061,178.002,0
158.003,28.0651,4
187.05,57.0435,3
293.014,163.051,0
163.001,33.0045,4
133.03,3.03675,4
83.0219,353.055,2
262.053,132.062,1
141,11.0343,4
211.024,81.0601,3
230.022,100.03,3
212.062,82.021,3
94.0172,364.064,2
12.0363,282.054,2
226.042,96.0088,3
79.0175,349.004,2
216.026,86.0318,3
174.061,44.0342,4
114.035,384.048,2
113.057,383.038,2
269.004,139.022,1
209.022,79.0252,3
216.036,86.0494,3
135.02,5.0353,4
277.019,147.05,1
195.058,65.038,3
305.008,175.015,0
67.0004,337.055,2
185.048,55.0218,3
259.033,129.035,1
162.048,32.0512,4
208.025,78.0115,3
230.024,100.002,3
76.022,346.004,2
201.004,71.0157,3
134.06,4.03646,4
181.035,51.0191,4
334.007,204.03,0
130.024,0.062638,4
161.058,31.0468,4
175.017,45.0367,4
213.04,83.0637,3
191.055,61.0428,3
274.038,144.029,1
142.027,12.0031,4
165.064,35.0147,4
58.065,328.039,2
174.021,44.0137,4
228.002,98.0512,3
201.022,71.0547,3
175.013,45.0163,4
164.027,34.0394,4
238.053,108.012,1
252,122.009,1
179.054,49.0544,4
162.058,32.0297,4
225.05,95.0429,3
168.024,38.0422,4
251.043,121.024,1
123.05,393.047,2
40.0302,310.003,2
30.0105,300.056,2
274.047,144.01,1
72.0144,342.029,2
241.014,111.056,1
172.035,42.0286,4
79.0259,349.055,2
195.042,65.0221,3
90.0252,360.041,2
193.029,63.0604,3
131.043,1.0196,4
136.042,6.06038,4
111.032,381.052,2
138.006,8.02664,4
83.0515,353.018,2
88.0453,358.01,2
197.052,67.0103,3
68.0311,338.062,2
247.052,117.025,1
209.033,79.0651,3
356.051,226.028,0
159.011,29.039,4
171.034,41.0439,4
237.044,107.028,1
100.013,370.044,2
223.007,93.02,3
291.006,161.026,0
130.004,0.050847,4
165.015,35.0547,4
197.057,67.0083,3
217.014,87.014,3
192.003,62.0269,3
155.029,25.0126,4
206.043,76.0274,3
123.032,393.003,2
56.0302,326.009,2
276.053,146.049,1
239.014,109.001,1
274.044,144.038,1
137.064,7.05755,4
151.061,21.0588,4
283.003,153.038,1
273.044,143.054,1
84.012,354.031,2
187.016,57.0487,3
314.065,184.036,0
149.041,19.0259,4
291.043,161.044,0
261.054,131.065,1
188.052,58.0258,3
262.022,132.027,1
272.049,142.04,1
120.002,390.02,2
162.021,32.0128,4
202.002,72.0064,3
135.058,5.02456,4
142.021,12.0286,4
232.045,102.044,1
165.005,35.0329,4
204.046,74.0401,3
174.036,44.0468,4
181.005,51.0074,4
158.006,28.0039,4
174.003,44.0625,4
289.003,159.032,0
219.027,89.0007,3
139.055,9.04862,4
211.065,81.059,3
214.007,84.05,3
217.003,87.0136,3
252.04,122.003,1
213.017,83.0374,3
274.03,144.003,1
240.059,110.058,1
118.06,388.011,2
225.038,95.0123,3
118.015,388.014,2
290.003,160.049,0
50.0022,320.065,2
124.002,394.025,2
262.019,132.053,1
177.034,47.0158,4
176.028,46.0561,4
195.025,65.0409,3
135.057,5.00877,4
117.049,387.036,2
244.006,114.006,1
263.065,133.027,1
82.008,352.013,2
207.006,77.0513,3
251.035,121.059,1
143.038,13.0628,4
164.049,34.002,4
333.019,203.046,0
189.058,59.0084,3
217.013,87.0351,3
257.001,127.016,1
216.045,86.0453,3
223.006,93.048,3
197.011,67.0502,3
250.048,120.051,1
214.051,84.0604,3
196.042,66.0182,3
69.0362,339.029,2
298.006,168.006,0
204.017,74.0647,3
174.058,44.0462,4
339.055,209.048,0
221.018,91.0237,3
283.04,153.024,1
226.065,96.0033,3
277.038,147.05,1
271.024,141.028,1
249.005,119.028,1
195.026,65.0026,3
60.0162,330.002,2
202.063,72.0309,3
255.031,125.005,1
191.05,61.0425,3
232.04,102.009,1
186.029,56.0488,3
269.001,139.063,1
175.016,45.0036,4
199.029,69.0459,3
186.065,56.0558,3
329.024,199.001,0
109.027,379.04,2
184.009,54.0315,3
222.03,92.0208,3
222.037,92.0512,3
282.006,152.047,1
262.05,132.01,1
189.063,59.0328,3
170.016,40.039,4
216.001,86.0495,3
277.037,147.012,1
229.058,99.0054,3
290.047,160.057,0
257.007,127.032,1
87.0615,357.046,2
220.026,90.044,3
199.036,69.0497,3
184.047,54.0304,3
310.021,180.031,0
154.042,24.0185,4
131.047,1.01059,4
315.005,185.034,0
200.039,70.0128,3
60.0413,330.045,2
147.04,17.0475,4
219.06,89.0161,3
159.007,29.0528,4
337.003,207.062,0
200.031,70.02,3
129.064,399.008,2
190.064,60.0403,3
275.039,145.038,1
203.05,73.0129,3
162.053,32.042,4
99.0443,369.017,2
139.06,9.01102,4
40.0611,310.057,2
137.01,7.03836,4
224.001,94.0574,3
151.044,21.0315,4
326.021,196.012,0
229.046,99.0275,3
131.05,1.00604,4
110.051,380.013,2
223.014,93.0145,3
285.008,155.018,0
175.051,45.0378,4
142.044,12.0626,4
253.024,123.022,1
70.0475,340.007,2
295.026,165.02,0
296.006,166.023,0
139.032,9.05979,4
149.055,19.0018,4
167.01,37.0571,4
147.057,17.065,4
159.024,29.0623,4
153.012,23.052,4
109.033,379.019,2
156.035,26.0494,4
243.051,113.042,1
102.034,372.063,2
73.0538,343.024,2
252.064,122.06,1
146.033,16.0247,4
324.03,194.02,0
204.056,74.0308,3
84.0189,354.054,2
192.036,62.0532,3
190.011,60.0294,3
58.0417,328.009,2
225.027,95.0054,3
68.0011,338.009,2
205.031,75.0434,3
120.018,390.008,2
281.038,151.044,1
289.065,159.036,0
170.033,40.0343,4
106.017,376.046,2
146.026,16.0227,4
135.009,5.03315,4
233.049,103.052,1
155.013,25.0123,4
76.005,346.014,2
303.019,173.027,0
213.035,83.035,3
264.006,134.013,1
217.017,87.027,3
176.064,46.0477,4
54.0611,324.043,2
159.036,29.0078,4
241.028,111.012,1
285.042,155.04,0
208.046,78.0093,3
223.039,93.0344,3
188.048,58.0618,3
193.012,63.0478,3
303.064,173.044,0
290.059,160.057,0
104.059,374.059,2
163.063,33.0475,4
232.033,102.04,1
102.051,372.034,2
231.025,101.033,1
303.024,173.029,0
282.056,152.022,1
304.062,174.058,0
147.001,17.0534,4
138.041,8.00579,4
106.052,376.027,2
157.012,27.0223,4
94.0637,364.021,2
124.032,394.045,2
155.055,25.019,4
58.021,328.012,2
265.022,135.001,1
236.057,106.045,1
200.038,70.0126,3
235.003,105.048,1
324.005,194.053,0
72.0536,342.036,2
171.022,41.0441,4
116.046,386.03,2
239.01,109.024,1
178.001,48.0379,4
198.023,68.0612,3
254.054,124.034,1
253.039,123.001,1
110.063,380.028,2
230.019,100.047,3
204.017,74.0224,3
56.028,326.037,2
152.037,22.0653,4
205.004,75.0375,3
220.002,90.0018,3
274.024,144.05,1
242.034,112.04,1
141.007,11.0473,4
196.022,66.0393,3
228.046,98.0017,3
152.004,22.0563,4
214.039,84.0538,3
206.022,76.0416,3
275.061,145.043,1
174.041,44.0201,4
157.017,27.0218,4
241.036,111.032,1
332,202.031,0
139.051,9.06333,4
208.056,78.0235,3
205.006,75.0263,3
57.0142,327.057,2
337.02,207.026,0
160.02,30.0067,4
285.008,155.007,0
109.065,379.029,2
176.017,46.0455,4
220.02,90.0204,3
178.003,48.0468,4
155.028,25.0566,4
45.0412,315.045,2
210.037,80.0259,3
162.037,32.0601,4
126.063,396.04,2
210.038,80.0181,3
151.016,21.0034,4
170.03,40.0014,4
211.057,81.0476,3
146.045,16.042,4
227.021,97.0386,3
219.046,89.0099,3
131.007,1.05087,4
130.033,0.041992,4
144.034,14.0203,4
147.03,17.0405,4
227.063,97.0313,3
59.0238,329.055,2
184.039,54.0389,3
189.057,59.0303,3
318.041,188.059,0
259.026,129.053,1
187.051,57.0392,3
196.05,66.0334,3
173.013,43.0077,4
176.062,46.0543,4
178.036,48.0445,4
233.042,103.035,1
120.01,390.047,2
191.001,61.0571,3
232.028,102.062,1
122.046,392.021,2
189.014,59.0333,3
143.033,13.0456,4
325.016,195.04,0
178.044,48.0501,4
150.065,20.0232,4
106.004,376.032,2
247.065,117.063,1
254.038,124.018,1
229.063,99.0041,3
227.01,97.0041,3
219.018,89.0091,3
184.065,54.0035,3
314.041,184.04,0
220.035,90.064,3
244.01,114.01,1
228.015,98.0143,3
189.059,59.0162,3
155.004,25.0478,4
269.043,139.046,1
194.032,64.0394,3
181.008,51.0108,4
205.061,75.0011,3
240.019,110.044,1
112.002,382.051,2
53.0124,323.058,2
235.02,105.056,1
239.032,109.038,1
95.0543,365.053,2
281.046,151.033,1
171.018,41.0517,4
80.0384,350.015,2
156.014,26.0303,4
210.008,80.0207,3
153.032,23.0455,4
103.003,373.015,2
157.041,27.0127,4
114.024,384.048,2
125.058,395.052,2
231.048,101.027,1
159.022,29.0607,4
109.027,379.019,2
62.0196,332.06,2
273.039,143.002,1
249.057,119.031,1
143.036,13.0111,4
98.0029,368.012,2
242.01,112.023,1
319.018,189.016,0
115.045,385.048,2
102.045,372.032,2
176.035,46.0166,4
236.052,106.035,1
214.052,84.0487,3
170.028,40.0422,4
237.055,107.037,1
168.024,38.0201,4
72.0012,342.024,2
232.004,102.002,1
94.0226,364.03,2
199.062,69.0426,3
200.041,70.0145,3
200.021,70.0583,3
201.045,71.0147,3
178.061,48.0101,4
264.028,134.064,1
312.007,182.06,0
112.061,382.004,2
280.043,150.043,1
177.024,47.0157,4
157.049,27.0434,4
311.028,181.049,0
266.011,136.035,1
186.038,56.0478,3
281.037,151.051,1
264.039,134.024,1
122.045,392.012,2
236.002,106.01,1
259.017,129.021,1
230.011,100.037,3
242.014,112.028,1
146.03,16.0035,4
122.05,392.039,2
313.038,183.051,0
276.025,146.001,1
157.023,27.0437,4
244.049,114.002,1
187.026,57.0277,3
195.041,65.0384,3
201.009,71.0353,3
302.062,172.028,0
220.008,90.0244,3
309.063,179.029,0
107.051,377.024,2
216.053,86.0253,3
156.041,26.0478,4
168.012,38.0195,4
288.037,158.035,0
232.026,102.042,1
302.009,172.056,0
281.015,151.049,1
192.04,62.0624,3
76.0114,346.052,2
124.036,394.03,2
173.061,43.0032,4
169.033,39.0367,4
307.032,177.046,0
146.027,16.0474,4
169.035,39.043,4
140.009,10.0216,4
213.049,83.017,3
120.056,390.013,2
147.038,17.0216,4
274.03,144.041,1
121.026,391.037,2
155.027,25.0492,4
123.005,393.064,2
237.058,107.036,1
231.039,101.05,1
140.029,10.0418,4
250.012,120.033,1
229.041,99.016,3
210.05,80.0404,3
104.036,374.058,2
46.0361,316.013,2
195.06,65.0343,3
314.047,184.016,0
193.021,63.015,3
284.016,154.045,0
